unit_concept_id,concept_name,unit_source_value
8923.0,international unit per liter,IU/L
,,
8840.0,milligram per deciliter,mg/dl
8713.0,,g/dL
8713.0,gram per deciliter,g/dl
8554.0,,%
8848.0,thousand per microliter,x10³/㎕
,,x10³
,,x100³/㎕
8753.0,,mmol/L
8752.0,millimeter per hour,mm/hr
8583.0,femtoliter,fl
9550.0,milli-international unit per milliliter,mIU/mL
8751.0,,mg/L
8786.0,per high power field,/HPF
8555.0,second,sec
8729.0,,pmol/L
8842.0,,ng/mL
9093.0,micro-international unit per milliliter,uIU/mL
8763.0,unit per milliliter,U/mL
8482.0,,pH
8876.0,millimeter mercury column,mmHg
9570.0,milliliter per deciliter,ml/dl
8645.0,unit per liter,U/L
8862.0,milliosmole per kilogram,mOsm/Kg
8749.0,,umol/L
,,mg/L FEU
8837.0,,ug/dL
8845.0,,pg/mL
8840.0,,mg/dL
8859.0,,ug/mL
8636.0,,g/L
8736.0,,nmol/L
,,mL/min/1.7
8583.0,,fL
8564.0,,pg
,,INR
,,R.U
8842.0,nanogram per milliliter,ng/ml
8985.0,international unit per milliliter,IU/mL
8785.0,,/mm3
8725.0,,ng/L
8748.0,microgram per liter,μg/L
8985.0,international unit per milliliter,IU/ml
8763.0,unit per milliliter,U/ml
,,/mmⓒø
8723.0,,mg/g
8860.0,microunit per milliliter,uU/mL
8860.0,microunit per milliliter,uU/ml
8837.0,microgram per deciliter,ug/dl
,,/mm³
,,mAU/ml
9550.0,milli-international unit per milliliter,mIU/ml
8859.0,microgram per milliliter,ug/ml
,,COI
,,index valu
9093.0,micro-international unit per milliliter,uIU/ml
,,x10ⓒø
8529.0,index,Index
9572.0,square millimeter,mm²
,,min.sec
8636.0,gram per liter,g/l
8510.0,unit,U
,,mP
8751.0,milligram per liter,mg/l
,,AU/ml
8645.0,unit per liter,U/l
8909.0,milligram per 24 hours,mg/day
,,AU/mL
8784.0,cells per microliter,cells/㎕
8799.0,copies per milliliter,copies/ml
8799.0,copies per milliliter,copies/mL
8763.0,unit per milliliter,u/mL
8510.0,unit,Units
9157.0,IgG phospholipid unit per milliliter,GPL-U/ml
9158.0,IgM phospholipid unit per milliliter,MPL-U/ml
8763.0,unit per milliliter,u/ml
44777652.0,,umol/h/L
8647.0,per microliter,/ul
,,/100WBC
8587.0,milliliter,ml
8748.0,,ug/L
,,COI(Cut Of
9438.0,hundred thousand,/10^5
,,nM/mM crea
8549.0,million,/10^6
9562.0,,mg/kg
8910.0,millimole per 24 hours,mmol/day
8859.0,microgram per milliliter,UG/ML
720842.0,million per kilogram,x10^6/Kg
8985.0,international unit per milliliter,_IU/mL
8906.0,microgram per 24 hours,ug/day
,,MFI
9384.0,point,점
8875.0,microequivalent per liter,uEq/L
8647.0,per microliter,/㎕
9014.0,microgram per gram of creatinine,ug/g creat
8510.0,unit,Unit
8695.0,Ehrlich unit per milliliter,EU/mL
8829.0,Ehrlich unit per deciliter,EU/mL
,,U/gHb
9557.0,milliequivalent per liter,mEq/L
8749.0,micromole per liter,μmol/ℓ
9388.0,peripheral vascular resistance unit,PRU
,,/300 field
8748.0,microgram per liter,ug/ℓ
8817.0,,ng/dL
,,(BU/mL)
9448.0,year,세
9529.0,,kg
8582.0,,cm
9531.0,,kilogram per square meter
